SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
694,2/03/20,"Seattle, WA",United States of America,2020-02-01T19:43:03,1,0,0
695,2/03/20,"Tempe, AZ",United States of America,2020-02-01T19:43:03,1,0,0
696,2/04/20,Hubei,Mainland China,2020-02-04T23:43:01,16678,479,522
697,2/04/20,Zhejiang,Mainland China,2020-02-04T13:03:07,829,0,62
698,2/04/20,Guangdong,Mainland China,2020-02-04T13:03:07,813,0,30
699,2/04/20,Henan,Mainland China,2020-02-04T11:53:02,675,2,27
700,2/04/20,Hunan,Mainland China,2020-02-04T14:03:03,593,0,31
701,2/04/20,Anhui,Mainland China,2020-02-04T05:33:01,480,0,20
702,2/04/20,Jiangxi,Mainland China,2020-02-04T14:43:02,476,0,20
703,2/04/20,Chongqing,Mainland China,2020-02-04T23:43:01,366,2,9
704,2/04/20,Jiangsu,Mainland China,2020-02-04T11:53:02,308,0,12
705,2/04/20,Sichuan,Mainland China,2020-02-04T01:43:02,282,1,14
706,2/04/20,Shandong,Mainland China,2020-02-04T12:03:04,275,0,11
707,2/04/20,Beijing,Mainland China,2020-02-04T08:33:01,228,1,23
708,2/04/20,Shanghai,Mainland China,2020-02-04T06:33:02,219,1,12
709,2/04/20,Fujian,Mainland China,2020-02-04T12:13:11,194,0,3
710,2/04/20,Heilongjiang,Mainland China,2020-02-04T07:43:01,155,2,4
711,2/04/20,Shaanxi,Mainland China,2020-02-04T12:33:02,142,0,2
712,2/04/20,Guangxi,Mainland China,2020-02-04T05:53:01,139,0,10
713,2/04/20,Hebei,Mainland China,2020-02-04T08:53:01,126,1,4
714,2/04/20,Yunnan,Mainland China,2020-02-04T23:23:02,122,0,5
715,2/04/20,Liaoning,Mainland China,2020-02-04T14:13:08,81,0,2
716,2/04/20,Shanxi,Mainland China,2020-02-04T23:23:02,81,0,4
717,2/04/20,Hainan,Mainland China,2020-02-04T11:33:03,80,1,5
718,2/04/20,Tianjin,Mainland China,2020-02-04T13:33:02,67,0,2
719,2/04/20,Guizhou,Mainland China,2020-02-04T10:43:02,58,0,2
720,2/04/20,Gansu,Mainland China,2020-02-04T15:43:02,57,0,4
